"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"USW00014764","43.64222","-70.30444","13.7","2014-04-08","45","53","40"
"USW00014764","43.64222","-70.30444","13.7","2014-04-09","45","53","31"
"USW00014764","43.64222","-70.30444","13.7","2014-04-10","39","50","26"
"USW00014764","43.64222","-70.30444","13.7","2014-04-11","52","69","42"
"USW00014764","43.64222","-70.30444","13.7","2014-04-12","56","66","45"
"USW00014764","43.64222","-70.30444","13.7","2014-04-13","45","48","39"
"USW00014764","43.64222","-70.30444","13.7","2014-04-14","48","65","37"
"USW00014764","43.64222","-70.30444","13.7","2014-04-15","52","55","41"
"USW00014764","43.64222","-70.30444","13.7","2014-04-16","38","41","27"
"USW00014764","43.64222","-70.30444","13.7","2014-04-17","32","40","22"
